place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
b30baa724252ad58,Clube de Campo do Sindicato dos Metalúrgicos de Guarulhos e Região,"R. Reta, 390 - Parque Primavera, Guarulhos - SP, 07142-390, Brasil",-23.4061081,-46.4842507,+55 11 2402-3811,Mostrar horário de funcionamento da semana,metalurgico.org.br,"4,4",44,Clube,Fechado · Abre às 08:00,https://www.google.com/maps/place/Clube+de+Campo+do+Sindicato+dos+Metal%C3%BArgicos+de+Guarulhos+e+Regi%C3%A3o/data=!4m7!3m6!1s0x94ce8b0ea6a5071d:0xff94e20dbfe314b!8m2!3d-23.4061081!4d-46.4842507!16s%2Fg%2F1tdmlm5b!19sChIJHQelpg6LzpQRSzH-2yBO-Q8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarulhos - SP
187ec61e619590ad,Clube Parque Cecap,"Av. Odair Santanelli, 101 - Parque Cecap, Guarulhos - SP, 07190-050, Brasil",-23.4571957,-46.495634,,Mostrar horário de funcionamento da semana,,"4,2",42,Club,Aberto 24 horas,https://www.google.com/maps/place/Clube+Parque+Cecap/data=!4m7!3m6!1s0x94ce8a9f314f53c9:0x4de411e0e8322325!8m2!3d-23.4571957!4d-46.495634!16s%2Fg%2F11cjmz_9cq!19sChIJyVNPMZ-KzpQRJSMy6OAR5E0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarulhos - SP|escola de futebol Guarulhos - SP
c0d5c132a5254e99,Nosso Clube de Vila Galvão,"R. Santo Antônio, 937 - Vila Rosalia, Guarulhos - SP, 07071-060, Brasil",-23.4529591,-46.5611753,+55 11 2451-8181,Mostrar horário de funcionamento da semana,,"4,3",43,Club,Aberto · Fecha 04:00 · Reabre às 08:00,https://www.google.com/maps/place/Nosso+Clube+de+Vila+Galv%C3%A3o/data=!4m7!3m6!1s0x94cef5aef43832a5:0x6ea0ce1e776b31b4!8m2!3d-23.4529591!4d-46.5611753!16s%2Fg%2F1tcv7g4h!19sChIJpTI49K71zpQRtDFrdx7OoG4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarulhos - SP|escola de futebol Guarulhos - SP
97e60a154237dd2a,Campo do Flamengo,"R. Bezerra de Menezes, 258 - Jardim Tranquilidade, Guarulhos - SP, 07051-160, Brasil",-23.471237,-46.5528435,,,,"4,6",46,Clube de campo,,https://www.google.com/maps/place/Campo+do+Flamengo/data=!4m7!3m6!1s0x94cef57798e5f355:0x4546cf4d701ca4f!8m2!3d-23.471237!4d-46.5528435!16s%2Fg%2F11cspmmpx8!19sChIJVfPlmHf1zpQRT8oB1_RsVAQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarulhos - SP
9f97e0010ff0e7eb,Escola de Futebol Oficial do São Paulo SPFC,"R. Sd. João Espinardi, 101 - Vila Silveira, Guarulhos - SP, 07093-010, Brasil",-23.4555637,-46.5398976,+55 11 2451-1789,Mostrar horário de funcionamento da semana,,"4,5",45,Treino de futebol,Fechado · Abre às 08:00,https://www.google.com/maps/place/Escola+de+Futebol+Oficial+do+S%C3%A3o+Paulo+SPFC/data=!4m7!3m6!1s0x15774949d6b4269:0x2389ac58da915bc1!8m2!3d-23.4555637!4d-46.5398976!16s%2Fg%2F11b6dgc4y8!19sChIJaUJrnZR0VwERwVuR2lisiSM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Guarulhos - SP|escola de futebol Guarulhos - SP
88c4475f82ee3b39,Chute Inicial Corinthians Guarulhos - Centro,"Av. Júlio Prestes, 89 - Vila Galvão, Guarulhos - SP, 07063-010, Brasil",-23.4557024,-46.5530142,+55 11 2464-0965,Mostrar horário de funcionamento da semana,corinthians.com.br,"4,3",43,Treino de futebol,Fechado · Abre sáb. às 10:00,https://www.google.com/maps/place/Chute+Inicial+Corinthians+Guarulhos+-+Centro/data=!4m7!3m6!1s0x94cef543d56f8ae5:0x5802072b3994081!8m2!3d-23.4557024!4d-46.5530142!16s%2Fg%2F1pv6z4ylh!19sChIJ5Ypv1UP1zpQRgUCZs3IggAU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Guarulhos - SP|escola de futebol Guarulhos - SP
5f14ca127698c1ea,Escolinha De Futebol Oficial A.A.Ponte Preta,"Estr. Pres. Juscelino K. de Oliveira, 3155 - Jardim Albertina, Guarulhos - SP, 07252-000, Brasil",-23.4523239,-46.4072303,+55 11 2358-2419,,pontepreta.com.br,"4,4",44,Escola de esportes,,https://www.google.com/maps/place/Escolinha+De+Futebol+Oficial+A.A.Ponte+Preta/data=!4m7!3m6!1s0x94ce625db6ef5893:0x1014bea4e91c91e2!8m2!3d-23.4523239!4d-46.4072303!16s%2Fg%2F11c45vr2j9!19sChIJk1jvtl1izpQR4pEc6aS-FBA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Guarulhos - SP|escola de futebol Guarulhos - SP
9ee9f84e6524a235,Inter Society Academy Guarulhos,"R. Padre Celestino, 587 - Centro, Guarulhos - SP, 07013-100, Brasil",-23.4744885,-46.5249485,+55 11 93751-8361,Mostrar horário de funcionamento da semana,,"4,6",46,Treino de futebol,Fechado · Abre às 14:00,https://www.google.com/maps/place/Inter+Society+Academy+Guarulhos/data=!4m7!3m6!1s0x94ce5fa5626f3015:0xf766cd47494ca8fd!8m2!3d-23.4744885!4d-46.5249485!16s%2Fg%2F11p4cr4c1c!19sChIJFTBvYqVfzpQR_ahMSUfNZvc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Guarulhos - SP|escola de futebol Guarulhos - SP
62070be0a2c7d44f,Escola de Futebol Oficial do Santos,"R. da Penha, 600 - Macedo, Guarulhos Atrás do Atacadão - R. Eng. Albert Leimer, 293 - Parque Industrial do Jardim Sao Geraldo, Guarulhos - SP, 07140-020 - Macedo, Guarulhos - SP, 07197-130, Brasil",-23.4397615,-46.504803,+55 11 99454-0600,Mostrar horário de funcionamento da semana,,"4,7",47,Treino de futebol,Fechado · Abre às 09:00,https://www.google.com/maps/place/Escola+de+Futebol+Oficial+do+Santos/data=!4m7!3m6!1s0x94ce8aad2145de99:0x1f7ce3c28b67d3a2!8m2!3d-23.4397615!4d-46.504803!16s%2Fg%2F1pw3x_prr!19sChIJmd5FIa2KzpQRotNni8LjfB8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Guarulhos - SP|escola de futebol Guarulhos - SP
e7f52dc460c8ac4c,Escola de Futebol São Caetano Neurosport - Presidente Dutra,"R. Itaparantim - Jardim Pres. Dutra, Guarulhos - SP, 07179-280, Brasil",-23.4198555,-46.4416962,+55 11 96508-3536,Mostrar horário de funcionamento da semana,facebook.com,"4,7",47,Treino de futebol,Fechado · Abre às 08:00,https://www.google.com/maps/place/Escola+de+Futebol+S%C3%A3o+Caetano+Neurosport+-+Presidente+Dutra/data=!4m7!3m6!1s0x94ce8bd3e061b5d3:0x1fa66d3758dcdb6!8m2!3d-23.4198555!4d-46.4416962!16s%2Fg%2F11gjm8394_!19sChIJ07Vh4NOLzpQRts2NddNm-gE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Guarulhos - SP|escola de futebol Guarulhos - SP
