place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
fe5a4d5ea41464a7,A.A. Ferroviária Pindamonhangaba,"R. Álvaro Pinto Madureira, 81 - Chácara Galega, Pindamonhangaba - SP, 12422-210, Brasil",-22.9297765,-45.4649652,+55 12 98224-1116,Mostrar horário de funcionamento da semana,linktr.ee,"4,7",47,Clube esportivo,Aberto · Fecha 23:00,https://www.google.com/maps/place/A.A.+Ferrovi%C3%A1ria+Pindamonhangaba/data=!4m7!3m6!1s0x94ccf1868e17e891:0x5add028c1a9e962b!8m2!3d-22.9297765!4d-45.4649652!16s%2Fg%2F11qby3234w!19sChIJkegXjobxzJQRK5aeGowC3Vo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Pindamonhangaba - SP
90d0855bdcf5c6e1,AABB Pindamonhangaba,,-22.9820338,-45.4173065,,,,"4,0",35,Clube de campo,,https://www.google.com/maps/place/AABB+Pindamonhangaba/data=!4m7!3m6!1s0x94cce4f6cdeb73a9:0x1a79c6f53e45c6a1!8m2!3d-22.9820338!4d-45.4173065!16s%2Fg%2F11c7vvrr77!19sChIJqXPrzfbkzJQRocZFPvXGeRo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Pindamonhangaba - SP
f57efea6cf654fa3,Acci Vila Rica Casa,"· Av. Abel Corrêa Guimarães, 1451",-22.9378684,-45.4788321,,,,"4,6",16,Clube,,https://www.google.com/maps/place/Acci+Vila+Rica+Casa/data=!4m7!3m6!1s0x94ccf0687f320403:0x2983338419b63671!8m2!3d-22.9378684!4d-45.4788321!16s%2Fg%2F11j1j6jfg4!19sChIJAwQyf2jwzJQRcTa2GYQzgyk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Pindamonhangaba - SP
ae8a6197bb00d555,ADC Grêmio Gerdau,,-22.8839674,-45.3579793,,,,"4,5",186,Associação / organização,,https://www.google.com/maps/place/ADC+Gr%C3%AAmio+Gerdau/data=!4m7!3m6!1s0x94cce8a8249d4e6f:0x411b7bc7fa83076!8m2!3d-22.8839674!4d-45.3579793!16s%2Fg%2F11b6hhkh6j!19sChIJb06dJKjozJQRdjCof7y3EQQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Pindamonhangaba - SP
3ce8fba46b221f4a,ADC Novelis,,-22.9251644,-45.3884288,,,,"4,7",311,Clube,,https://www.google.com/maps/place/ADC+Novelis/data=!4m7!3m6!1s0x94cce5f6807ca39b:0x6c0c5ca78d427df4!8m2!3d-22.9251644!4d-45.3884288!16s%2Fg%2F11c0vntb52!19sChIJm6N8gPblzJQR9H1CjadcDGw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Pindamonhangaba - SP
4f4ff8e34f4b3cc3,ADC Tenaris Confab,· Av. Gastão Vidigal Neto,-22.935235,-45.4076743,,,,"4,7",120,Academia,,https://www.google.com/maps/place/ADC+Tenaris+Confab/data=!4m7!3m6!1s0x94cce583f6bdfd11:0x74172ea05d8a8438!8m2!3d-22.935235!4d-45.4076743!16s%2Fg%2F11ckthjy_0!19sChIJEf299oPlzJQROISKXaAuF3Q?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Pindamonhangaba - SP
3d9ff00d46086153,ARENA AZEREDO,,-22.9212028,-45.3644599,,,,"4,7",23,Clube,,https://www.google.com/maps/place/ARENA+AZEREDO/data=!4m7!3m6!1s0x94cce78c1c51fa0b:0x373a56bcff1e11df!8m2!3d-22.9212028!4d-45.3644599!16s%2Fg%2F11s5n5vx_g!19sChIJC_pRHIznzJQR3xEe_7xWOjc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Pindamonhangaba - SP
9fc47febfdacce64,Arena Colorado,,-22.8884183,-45.3896339,,,,"4,5",32,Clube,,https://www.google.com/maps/place/Arena+Colorado/data=!4m7!3m6!1s0x94ccef7dcb6aff79:0x4577c55eef926d5c!8m2!3d-22.8884183!4d-45.3896339!16s%2Fg%2F11t9bx69z3!19sChIJef9qy33vzJQRXG2S717Fd0U?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Pindamonhangaba - SP
90d667792a27353d,Associação Cultural e Esportiva Nipo Brasileira de Pindamonhangaba,"R. Dr. Alfredo Valentine, 208 - Centro, Pindamonhangaba - SP, 12400-360, Brasil",-22.9274788,-45.4579178,,Mostrar horário de funcionamento da semana,,,,Clube,Aberto · Fecha 17:00,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Cultural+e+Esportiva+Nipo+Brasileira+de+Pindamonhangaba/data=!4m7!3m6!1s0x94ccf12411fdf7fd:0x3d05a9d19bf7773d!8m2!3d-22.9274788!4d-45.4579178!16s%2Fg%2F11q46mmfjb!19sChIJ_ff9ESTxzJQRPXf3m9GpBT0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Pindamonhangaba - SP
22b89bf50e71b4ab,ATOM Inteligência Imobiliária Ltda.,"Av. Independência, 603 - Independência, Taubaté - SP, 12031-000, Brasil",-23.0374247,-45.5771924,+55 12 3426-4386,Mostrar horário de funcionamento da semana,atomimobiliaria.com.br,"4,9",49,Imobiliária,Aberto · Fecha 18:00,https://www.google.com/maps/place/ATOM+Intelig%C3%AAncia+Imobili%C3%A1ria+Ltda./data=!4m7!3m6!1s0x94ccf99110692c9d:0xc003bd28b865d8e3!8m2!3d-23.037425!4d-45.577192!16s%2Fg%2F11t_zwy_77!19sChIJnSxpEJH5zJQR49hluCi9A8A?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Pindamonhangaba - SP
